Student ID,Status,Application Date
10056,1,2001-01-02
10719,4,1999-11-23
3412,3,1998-04-16
6075,3,2018-07-22
4400,10,2055-07-02
5005,6,2011-12-20
8184,4,2117-04-19
1575,2,2077-03-16
6577,3,1972-03-11
1206,1,1980-09-29
3686,6,1975-10-22
7384,1,2072-12-21
6837,10,2021-05-15
3319,10,1985-09-18
3743,9,1986-05-03
3247,4,2007-12-01
8846,5,2030-02-13
10311,6,1971-08-31
8530,4,2025-11-08
3457,4,1980-03-28
4141,6,1979-04-25
10529,1,2008-08-23
2570,3,1997-08-04
6051,8,1980-02-28
8829,1,2090-03-13
4444,7,1979-04-06
6886,7,1981-01-03
2440,6,1974-09-19
8185,8,2030-08-19
9410,4,2025-04-05
5488,1,2012-07-07
9636,9,1970-04-30
7859,3,1979-06-17
6185,10,2018-01-02
9349,8,2006-10-17
3509,1,1986-07-13
3574,9,1973-11-07
4545,8,1982-07-05
4849,3,2017-05-16
1627,6,1982-01-08
10465,10,2014-09-28
7365,1,1982-06-27
4355,8,2038-07-10
3376,6,1977-12-20
6392,10,1996-01-28
3560,5,1970-01-03
9875,5,1974-02-06
3843,2,1974-05-08
6888,2,2086-10-11
9326,7,1996-11-19
9540,3,2052-12-18
9872,7,1971-07-24
3873,1,2136-04-05
6455,8,1970-11-25
6770,4,2004-06-22
9849,10,2048-07-31
10004,6,1985-08-29
3329,2,2055-03-30
2132,5,1984-05-17
9502,7,1972-08-03
4628,3,2019-07-12
3636,6,1974-12-16
7442,6,2019-10-26
9596,3,2018-05-18
7001,9,1971-01-03
9969,1,1974-03-17
7087,7,1992-12-14
4941,6,2010-08-15
2432,10,2040-11-05
6184,8,2000-09-18
10058,3,1986-11-08
6875,3,2126-05-10
6666,8,2004-07-21
3914,9,1990-08-23
2211,8,1993-11-25
9576,2,1972-04-23
6774,3,2069-11-10
2495,2,1979-10-22
9293,8,1986-09-17
5761,8,2013-10-12
9836,10,1980-07-12
10029,7,1997-09-05
8069,6,2011-04-24
3100,7,2017-09-03
2871,8,2000-10-30
6226,9,1974-06-25
2599,1,2014-06-13
5818,6,1980-06-17
9586,8,1987-07-04
3869,1,1981-03-13
6920,3,2001-08-23
8232,3,1977-11-23
7655,9,2018-06-25
2297,6,1971-10-07
5713,5,1976-11-22
4272,4,2049-10-29
10332,5,1990-04-11
1783,4,1996-09-25
7662,4,1983-02-12
9124,2,1970-12-09
5997,10,1989-10-21
2315,3,1981-10-26
3728,10,1993-02-07
2912,1,2020-05-03
10470,8,1994-05-25
5734,4,2017-10-16
4510,8,1977-02-23
3580,5,2010-02-01
9696,4,1984-03-01
8124,8,1982-12-07
5204,7,1984-12-18
3228,7,1982-06-14
10696,3,1979-11-14
2893,9,1986-01-13
5629,3,2000-07-26
4966,1,2031-06-16
3218,2,1998-11-15
2560,1,1984-09-10
3983,4,1977-08-04
2854,5,2015-07-03
9863,7,2041-04-27
7863,7,2019-02-26
4126,3,1972-06-22
4753,6,1980-01-12
9727,8,1986-07-05
8502,4,1971-07-17
1991,5,1996-07-15
8546,4,2073-11-26
5259,3,1990-02-12
3502,3,1982-07-21
6390,1,1982-06-19
7192,10,2027-03-17
4106,8,1976-11-25
10782,10,1987-02-15
3439,1,2010-10-22
4296,4,2007-11-14
9594,1,1982-11-02
4148,7,2029-03-24
8750,2,1998-07-12
6864,3,1973-10-02
10691,4,1997-11-16
10409,2,1974-01-30
8760,2,2004-01-29
5054,2,2084-05-07
9959,7,1977-08-05
7868,3,1972-03-14
4580,7,1976-03-05
8572,7,1973-01-29
5547,1,1975-01-16
9082,6,2014-09-26
3116,9,2031-12-16
6384,9,2056-08-17
7140,1,2050-06-09
2550,8,1975-07-28
6040,5,2031-10-03
2371,2,2097-01-05
5179,4,1971-07-15
8465,8,2006-06-10
5822,8,1979-12-20
6597,5,1975-06-17
5380,2,1974-02-02
5645,9,1986-04-16
3808,9,1984-11-30
8753,1,1990-04-12
2194,1,1972-03-08
6169,8,2057-12-02
6385,2,1982-03-27
9929,8,2009-08-02
4239,5,2081-07-15
7732,3,1973-02-26
9553,1,1979-12-06
7998,4,2063-08-07
10576,8,2001-02-13
10121,1,1994-04-21
7332,8,2029-01-01
1257,4,1985-12-26
3238,5,2073-01-08
10020,9,1988-05-09
1236,1,2013-08-12
10040,2,1970-11-16
1610,10,2166-06-12
8018,6,2064-11-29
10431,5,1972-05-29
3582,10,2017-09-07
6190,8,2088-06-10
9794,3,2029-12-04
9538,2,1978-08-22
4507,2,1985-01-14
10642,7,1992-02-25
6916,7,1994-11-24
4265,8,2066-02-01
1366,5,1982-01-08
3677,6,2052-06-25
6474,8,2026-03-13
10786,9,1984-09-03
2660,1,1990-04-25
8892,10,2027-03-31
3263,5,1982-05-24
5451,4,2031-08-01
8687,9,1979-11-07
4028,2,1984-06-09
5057,4,1983-04-18
5980,10,2063-01-14
2438,2,2000-01-22
9226,9,1988-08-24
1970,5,2033-12-27
8554,4,1979-05-23
2188,1,1994-06-21
1526,9,1970-11-19
3849,2,1977-09-17
9071,3,1972-03-20
5752,5,1983-07-10
10044,2,1990-12-11
4191,9,1988-10-03
1668,3,1990-08-28
7735,7,1985-04-03
6976,10,1972-09-28
9289,4,1990-06-13
2685,2,2022-06-22
8571,9,1997-07-19
4973,9,2002-04-28
3687,6,1970-08-27
8982,3,1982-07-26
2850,1,2031-01-14
5332,1,2030-12-13
2935,1,1978-08-01
7521,4,1972-11-16
4584,10,2032-12-05
10182,6,1970-05-03
7469,5,2066-01-04
4949,10,2002-06-13
1693,1,2020-10-18
5313,1,2064-12-12
7574,7,2000-07-25
7545,6,2036-01-14
1364,4,1992-08-25
4462,8,1990-06-26
3106,4,1980-07-08
3359,3,2018-12-17
5494,4,2016-01-25
2125,2,2032-06-12
4851,4,1975-07-26
4953,8,2178-06-18
4605,4,2001-05-14
4010,9,1987-03-31
4776,4,1986-04-11
2708,1,1991-09-22
5326,1,2030-03-27
8491,1,1970-07-09
10481,2,2010-09-07
8697,5,2019-05-23
7202,5,1996-09-26
9834,9,1972-11-09
9718,3,1972-05-17
9039,8,1976-10-29
9855,6,1987-05-24
3030,8,1997-10-09
9625,2,1981-08-09
9252,4,1987-10-29
1491,2,2045-08-06
2414,3,2031-05-14
5202,6,1977-11-09
6135,2,2007-06-18
6218,2,1986-09-06
2335,3,1987-08-19
8346,6,2002-11-28
3265,5,1970-12-11
2077,6,1983-01-08
8835,10,2107-10-10
4089,4,2021-06-16
2540,5,2012-10-27
8302,5,2061-10-10
2655,10,1990-01-15
9583,8,1970-06-04
7122,9,1998-10-02
5208,8,1989-03-01
10649,6,1974-04-17
3406,10,2013-05-19
10172,2,1974-11-20
2973,2,2022-10-27
4955,4,2005-01-05
9511,7,1993-04-19
5012,7,2045-09-05
8249,10,1979-12-15
1798,7,2054-10-17
8129,9,2000-02-29
6409,4,1973-01-17
6036,9,1997-01-03
8985,9,1979-03-06
5658,2,2104-03-05
10612,1,1987-07-16
10647,7,2076-08-30
3936,6,1998-07-05
8372,7,2012-09-17
5855,1,2069-04-21
9761,8,1972-12-12
10134,9,1972-10-05
4612,1,1987-06-08
8089,6,1974-05-09
4893,2,1978-03-09
1681,7,1991-06-17
1516,3,1983-01-14
5659,9,1979-03-08
7986,5,2001-12-05
1967,10,1975-03-27
6847,3,1997-08-13
9449,10,1977-09-25
2042,4,2002-01-19
10889,10,2011-04-25
7629,8,2028-11-10
4997,10,1999-08-04
1844,7,2013-07-25
10721,7,1984-08-04
10635,2,1977-12-18
5966,3,1976-11-19
9521,9,1982-06-22
7271,10,2071-05-19
10156,3,1970-08-14
2057,10,1983-09-03
4119,7,2016-12-05
10825,6,1973-03-05
5342,10,1985-03-05
5718,3,1970-04-11
9466,7,2023-10-02
2523,1,1972-06-12
5826,4,1999-03-28
8139,10,2004-08-24
1973,7,2030-08-10
4903,7,1979-01-25
4268,5,1985-12-25
2075,4,1976-12-25
6092,1,2018-01-25
1201,4,2036-06-21
2401,4,2068-08-08
5362,3,1993-07-18
6775,7,2012-06-01
6165,7,2043-01-12
4302,10,2010-01-18
8819,10,1985-01-22
1008,4,1989-08-29
9471,5,1970-11-15
5876,5,2007-01-08
7636,7,1989-06-04
3897,6,1999-05-26
3226,1,2001-01-03
5606,10,1986-11-14
10653,10,2017-05-21
10124,9,1976-05-16
2697,2,2000-06-24
7040,5,1979-09-07
3851,5,1972-01-28
3853,6,1972-03-24
3974,9,1979-07-10
2579,4,1984-05-29
1539,7,1984-12-29
5406,3,1987-07-16
8699,10,1987-12-29
5921,10,1971-04-19
7507,2,1987-11-29
2354,9,2017-04-30
5505,2,1984-05-13
5229,8,2008-10-16
3868,4,1978-07-04
7744,9,2052-04-29
10574,4,1972-07-07
10571,9,2031-07-24
8362,7,1978-09-11
6061,3,2044-08-16
3342,10,1981-05-20
10059,7,2051-07-16
7198,6,1986-06-17
9555,10,1982-09-25
1802,7,2053-10-02
9443,9,2051-11-05
6879,6,1984-02-08
9302,6,1989-10-29
7369,9,1997-05-27
2963,5,2013-04-19
3108,6,2005-08-09
8141,6,2023-12-25
5188,2,2130-02-12
6512,5,2025-12-02
7661,9,1989-09-17
4825,7,1983-10-11
2825,6,1983-11-06
9766,10,1995-05-15
5014,10,1971-01-31
10150,3,2038-02-03
2059,3,1998-05-17
7355,9,2207-01-03
5961,6,1976-12-18
2779,7,1980-11-08
6952,9,2002-08-12
6544,1,1981-04-23
8276,8,1997-02-28
10623,6,1971-12-29
8566,5,2014-02-12
2960,6,2031-07-03
4393,3,1982-08-05
2931,7,2008-10-22
6667,4,1996-01-02
5200,5,1979-08-03
7510,5,2025-09-18
10636,4,2034-04-10
2072,5,2009-04-18
6832,3,1976-02-14
10444,4,1986-01-04
2144,8,1993-07-02
5611,9,1976-04-07
7185,10,1990-01-16
10314,5,2029-11-21
2580,7,2061-02-12
5427,8,1982-01-07
6890,5,1997-03-02
8885,1,2020-05-10
9287,10,2026-10-24
1836,5,2013-05-01
3389,7,1989-11-19
1503,3,2097-03-16
10688,9,2055-06-22
3519,2,2011-02-28
6752,2,1992-03-23
8808,2,1972-09-02
3739,3,2003-09-15
8516,3,1973-08-05
9532,6,2019-10-11
2223,5,1970-01-07
8838,10,1979-12-30
1362,4,2049-05-02
8098,1,2011-06-01
6014,10,2032-04-01
3537,6,1976-03-20
7513,1,2015-12-27
6804,3,1977-02-16
6590,3,2004-08-16
10301,7,2013-06-27
7220,8,2045-01-17
3889,2,1971-01-15
6788,2,1982-11-13
3079,9,1971-10-23
7584,7,2058-11-08
1624,10,2013-08-29
9751,8,1985-06-23
8228,3,2051-08-18
10637,6,2036-06-07
10913,10,1995-01-17
8592,10,1977-11-24
9363,10,1985-10-28
9360,7,1986-03-13
1437,2,1976-08-05
8107,7,1970-08-27
6183,4,1991-01-31
10589,1,1981-08-20
7182,5,2032-08-06
7309,9,1975-04-18
5482,4,1991-03-31
4846,1,1971-06-08
5300,5,2031-03-23
8615,6,2172-07-29
9011,4,1993-06-17
5368,8,1993-10-06
7825,7,1992-11-06
6282,10,1991-12-28
5343,7,1996-07-23
1937,8,2012-11-26
1405,6,2020-04-29
2436,10,1975-12-22
6407,7,2029-06-21
1784,1,2042-09-03
7496,10,1974-03-06
6868,2,1979-07-23
4799,2,1981-04-11
9029,3,2023-11-30
1318,8,2006-12-15
5429,1,1985-03-18
2545,10,1986-06-29
2795,4,1978-03-01
7643,10,2031-05-22
8834,7,1992-02-04
10487,8,1979-05-26
8874,4,1979-08-18
1479,10,1987-05-05
6033,10,1994-05-01
4172,10,2083-12-31
8275,2,2029-03-27
8789,7,1986-12-12
6034,2,1972-11-08
1001,10,1999-01-17
5138,4,1989-08-18
3152,5,1972-03-31
9603,7,2017-10-20
10587,6,1979-06-21
4555,3,2036-02-19
9577,2,2056-08-17
6829,7,1994-10-25
1422,5,1970-07-21
2288,4,2016-03-19
9684,5,2002-06-03
9870,6,1980-08-26
4761,6,1974-11-25
5029,8,2003-09-30
3289,7,2025-09-13
5599,2,1970-07-29
4963,10,1970-07-02
9477,9,1997-10-21
10037,1,2056-01-16
10908,4,2002-06-10
1256,2,1997-06-08
3431,10,2056-10-25
3350,10,2002-03-31
10091,5,2035-01-14
4183,3,2021-11-09
2757,10,2014-08-03
6634,6,1989-10-05
8709,5,1989-12-18
9171,3,2074-01-20
2382,2,2103-05-03
8614,10,2107-03-19
8024,5,2027-06-14
9135,4,1986-05-26
2017,1,1975-07-23
6359,9,2049-07-29
2805,9,1978-03-09
5072,8,1979-10-21
4977,9,1993-04-01
4551,10,2010-01-28
10788,5,2013-05-18
9683,5,1988-01-16
4480,10,2005-06-21
3643,10,2004-11-28
10386,5,1971-03-11
8520,7,1971-03-11
9734,9,1979-08-11
1759,2,2119-07-14
4016,2,2027-02-11
5747,2,1982-06-26
8260,7,1972-09-16
10278,2,1988-06-20
9520,9,1978-12-07
8796,3,1996-05-16
10131,3,1978-10-17
6039,3,2016-07-23
2820,10,2009-07-28
4513,9,1971-08-22
6532,1,2007-07-27
1267,8,1979-08-17
3375,4,2064-10-17
7995,3,1979-08-21
10185,9,1981-02-02
2074,6,1988-07-01
10933,1,2046-12-03
3675,6,2024-02-12
10195,4,2036-05-02
7341,6,1972-12-26
7681,2,1986-06-30
1934,6,1975-11-27
2193,6,2044-09-14
5929,2,1990-11-13
9445,7,2007-02-26
2407,1,2005-11-21
8028,10,1976-10-20
3673,8,2005-10-07
8735,8,2061-01-20
10238,7,2042-08-13
3061,1,1971-10-12
4600,6,1983-01-19
5291,10,1972-10-31
5504,2,2047-11-03
10259,7,1981-09-22
2069,6,1995-11-14
3200,3,1973-02-05
6878,5,1973-03-26
2385,10,2022-01-07
6042,9,2005-11-01
1646,6,2047-11-03
4712,10,1978-10-05
8375,4,1973-02-03
3133,3,2028-08-07
8286,10,2002-12-08
8456,4,1979-06-25
10181,6,1973-02-20
10184,9,1975-09-17
10855,3,1970-08-27
9361,6,2052-06-03
6821,4,2012-03-06
6487,6,2088-06-18
5169,3,2078-09-27
3810,5,1973-03-28
3437,3,1982-03-03
8698,8,2010-04-16
1444,4,2002-08-07
4103,1,2024-11-14
1848,1,2043-08-27
5842,8,1970-06-18
3492,8,1978-07-19
5248,7,1998-07-18
5522,6,2067-02-27
1647,9,2000-08-29
5990,1,2006-11-09
7312,3,2163-04-02
5871,7,2198-05-11
9612,7,1974-12-24
9463,8,2004-07-17
5575,7,1973-04-12
3461,3,1993-10-04
1906,4,1972-05-05
3438,5,2080-12-12
1482,5,1977-11-04
6445,5,2020-01-14
9798,7,1974-03-10
5049,9,2010-06-16
10888,5,2006-10-30
3536,7,2001-09-08
8870,4,2017-11-03
3007,9,1979-01-10
3796,3,2045-03-14
6841,3,1974-06-27
4586,8,1977-01-08
2930,5,2022-05-01
2707,7,1970-02-04
3028,4,1986-09-30
2605,9,1971-09-05
10230,2,2002-09-12
5076,2,1985-04-24
10902,2,2068-04-05
3516,8,1983-09-06
9658,7,2011-07-22
8538,4,2104-08-11
7310,3,2013-02-06
2229,5,1982-04-14
5778,10,1991-07-19
5844,9,1976-07-07
10030,3,2022-05-29
4861,9,1988-12-09
3090,2,2091-07-17
4271,3,1983-05-10
3653,2,2042-07-18
7106,3,1986-10-28
7749,10,1987-05-12
3307,1,1985-04-27
9786,8,1993-07-10
9053,2,1989-08-22
1985,7,1973-03-14
7034,10,1996-08-22
3816,6,1989-02-26
9379,4,1978-01-06
8560,5,2090-04-19
1560,4,1974-05-03
4149,6,1982-09-20
10337,4,2020-05-26
9507,5,1982-10-18
2828,4,2056-11-06
9271,1,1986-09-11
4344,4,1981-11-17
8164,8,1974-09-07
7409,5,2061-12-24
9242,5,1989-11-14
4125,6,2007-02-12
10441,1,2055-12-27
2505,7,1977-10-24
3709,2,2083-04-03
10413,3,1975-01-25
4883,3,1996-08-23
1512,4,1999-03-17
6656,1,1976-05-21
8093,5,1970-11-21
4336,9,1971-08-01
7315,5,2034-10-27
3670,6,1981-03-12
6347,4,1972-12-24
4273,10,2010-05-31
1395,9,1999-04-21
4209,1,1970-12-22
5283,6,2009-09-13
5672,9,1978-06-07
3044,4,1991-04-04
2778,9,1996-01-10
2977,6,1971-09-01
5986,10,2047-06-10
5245,6,1977-06-14
1867,2,1999-04-17
9562,5,2003-04-15
4568,5,1971-09-02
7872,4,2007-01-01
4755,4,2021-10-11
9028,3,2006-08-17
5843,1,2021-08-13
7159,2,2048-05-13
10472,3,1976-03-18
10711,6,1998-07-03
7502,8,1993-04-16
3953,3,2008-06-03
6545,6,2042-12-26
9609,2,1983-06-26
1982,5,1976-08-03
5874,4,1970-12-03
7899,7,1979-12-04
6069,1,1978-11-07
3117,3,2003-09-20
2578,4,2008-01-21
10814,6,2059-09-11
4502,1,1981-09-01
4198,3,1996-08-13
9373,3,2004-06-09
10927,8,2097-09-05
9913,7,2027-09-09
2045,9,2020-04-08
10673,2,1978-02-01
8187,1,2044-08-18
10374,1,1970-07-30
10086,10,1991-04-25
1490,3,2040-06-12
7411,2,1988-12-13
3328,6,2095-10-21
4589,5,1975-07-13
5717,7,2029-03-04
1818,7,2001-12-16
4221,1,2081-07-09
5215,8,1997-10-29
4127,3,1980-12-15
4196,2,1995-09-03
4219,8,1981-08-08
10882,1,1981-06-11
10809,1,1972-05-07
9007,4,1981-02-05
3456,6,1979-07-28
1964,5,1981-07-28
10692,6,2030-07-18
8779,8,2000-12-24
6862,10,1979-04-22
10110,3,1983-12-24
10461,2,1979-01-26
9639,3,2001-10-08
7444,3,1979-01-28
2187,3,1973-07-03
7302,8,1992-11-28
5402,1,2059-04-03
9176,7,1981-11-17
1655,9,2027-11-02
5788,7,1990-02-17
10351,10,1976-12-30
8821,7,1984-10-07
3450,10,1975-08-31
10894,1,1989-11-21
6237,7,1993-10-31
6682,9,2005-07-15
3051,6,2013-12-18
8804,7,1981-05-01
2774,3,1985-06-17
7242,8,1971-01-30
6662,10,1987-05-22
7453,6,2038-01-13
2458,6,2058-05-05
1313,1,2010-10-18
5503,9,1995-06-02
5115,6,1986-07-26
9106,8,2015-06-13
8949,7,1973-03-17
3259,9,1989-11-05
5264,5,1980-12-12
1820,2,2038-12-11
9869,6,2034-02-07
5137,3,1993-07-28
9689,10,2016-05-13
1653,3,1981-11-15
1244,6,1973-08-15
8752,7,2047-11-22
10491,8,1988-11-21
8658,3,1979-02-16
5588,6,1971-02-06
7826,9,2126-01-14
5686,10,2027-11-16
10218,6,2196-01-02
2134,7,1997-06-22
6987,8,1977-06-16
7569,1,1971-10-13
7104,2,1985-11-02
1430,7,2046-07-09
3781,8,2005-09-13
9260,1,2113-04-23
10411,6,2072-06-11
1644,4,1997-10-19
1929,3,2002-04-22
7728,6,2008-08-19
6335,6,1976-05-12
6599,5,2006-09-20
2488,9,2023-07-21
4869,6,2010-03-27
8734,1,2015-03-21
6701,5,2003-06-28
7612,9,1981-04-28
3805,5,2008-05-30
5732,5,1973-02-15
8266,6,1989-01-11
3344,3,1978-01-06
8558,6,2009-06-13
1204,5,1991-03-05
5037,3,2041-06-18
1659,4,1985-05-21
3932,1,1979-01-31
4962,4,1976-02-25
1724,9,2018-07-01
5715,8,1987-06-04
3893,9,2064-09-16
8527,5,1984-05-04
5118,4,1971-11-30
9738,2,1989-10-07
9294,9,1984-02-18
4946,6,2005-06-02
8382,10,1987-04-18
2976,4,1997-09-02
8978,5,1972-09-05
10738,5,1972-02-26
4758,5,2059-04-23
8531,4,1988-10-07
8632,1,1977-05-26
1369,10,1974-09-02
1208,10,2008-10-29
7603,2,1994-04-14
9804,10,2019-08-25
3414,8,2021-02-14
8064,2,1995-10-27
1286,1,2010-05-01
4189,4,1976-04-05
2684,9,2000-03-08
