Student ID,Department
6326,Arts and Sciences
6435,Engineering
10049,Arts and Sciences
3990,Engineering
9235,Business
5410,Engineering
1987,Arts and Sciences
7497,Arts and Sciences
6321,Business
7952,Business
2379,Engineering
7496,Business
3072,Engineering
9134,Business
9035,Arts and Sciences
5790,Engineering
6951,Engineering
5164,Arts and Sciences
2302,Business
4422,Arts and Sciences
7032,Arts and Sciences
9871,Engineering
10478,Arts and Sciences
10545,Engineering
10185,Business
2275,Business
10096,Business
4760,Business
10473,Arts and Sciences
7246,Arts and Sciences
2031,Business
3717,Arts and Sciences
8815,Arts and Sciences
9228,Arts and Sciences
1866,Business
4481,Business
5479,Engineering
1206,Arts and Sciences
9633,Business
5968,Business
8877,Engineering
4078,Arts and Sciences
5160,Engineering
6057,Business
4175,Arts and Sciences
2106,Engineering
1287,Arts and Sciences
5599,Engineering
8529,Arts and Sciences
4112,Engineering
3858,Engineering
4593,Engineering
3786,Business
7913,Business
6217,Business
6933,Engineering
9653,Business
5949,Arts and Sciences
6042,Engineering
7825,Arts and Sciences
5692,Engineering
1517,Arts and Sciences
9210,Engineering
1435,Arts and Sciences
8514,Business
7529,Engineering
2873,Arts and Sciences
7756,Business
10658,Arts and Sciences
10455,Business
3037,Arts and Sciences
9750,Business
2597,Arts and Sciences
5912,Arts and Sciences
10917,Arts and Sciences
1662,Business
4741,Business
5570,Engineering
2218,Engineering
8361,Arts and Sciences
8064,Engineering
8005,Engineering
3689,Arts and Sciences
9105,Business
3329,Arts and Sciences
4751,Business
9861,Engineering
7105,Engineering
6364,Business
6654,Business
8451,Arts and Sciences
7839,Arts and Sciences
4039,Business
10286,Engineering
10200,Arts and Sciences
10611,Engineering
10891,Engineering
4784,Business
2517,Arts and Sciences
4515,Engineering
5748,Arts and Sciences
5229,Arts and Sciences
7629,Business
8749,Arts and Sciences
9725,Arts and Sciences
3621,Engineering
3359,Engineering
10135,Engineering
10852,Arts and Sciences
5002,Arts and Sciences
9975,Business
7743,Arts and Sciences
6805,Engineering
2161,Arts and Sciences
6831,Engineering
5538,Engineering
5859,Arts and Sciences
1536,Business
5168,Engineering
7933,Engineering
7193,Engineering
8744,Engineering
7740,Engineering
2621,Engineering
1680,Business
10346,Arts and Sciences
1242,Engineering
1546,Business
1321,Engineering
7724,Business
9456,Business
7351,Business
7782,Arts and Sciences
2468,Engineering
6855,Arts and Sciences
2414,Business
3910,Arts and Sciences
1600,Business
9003,Arts and Sciences
6594,Engineering
10586,Engineering
2426,Arts and Sciences
1595,Engineering
5660,Business
9659,Arts and Sciences
4625,Engineering
4798,Engineering
7049,Engineering
6942,Business
5914,Engineering
10620,Business
5788,Business
9604,Arts and Sciences
7475,Engineering
6128,Business
6033,Engineering
3004,Business
10498,Arts and Sciences
10479,Arts and Sciences
6400,Business
10357,Engineering
8259,Business
2322,Engineering
8504,Business
1741,Engineering
5556,Business
8106,Business
1389,Engineering
4839,Arts and Sciences
10644,Business
8958,Business
3130,Arts and Sciences
6658,Business
